company_name,company_type,Location,review,no_user_review
Mnc Companies,·,"2, Dr M.L.K. Sarani Rd",,
Buildfusion,·,"CG - 79, Salt Lake City, 79",4.7,-10
Unisys Softwares & Holding Industries Limited,Software company,·,,
Mnc Software Companies,·,"1, 8, Major Arterial Road (South East Extension)",,
Brabender Technologie GmbH & Co. KG,Manufacturer,·,,
DCG Data-Core Systems India Pvt Ltd,·,DCG Data-Core Systems India Pvt Ltd,4.2,-277
Jupiter International Limited,Solar Energy Company,·,4.3,-12
FACT Solutions India Pvt Ltd,Software company,·,3.9,-53
Xenitis Group,·,"57, Exide, Chowringee Rd",4.0,-1
ARB Software India Pvt Limited,Software company,·,3.8,-727
Adapt International Pvt. Ltd.,Corporate office,·,4.3,-3
Software Development Company in Kolkata,·,H-101,,
Score Information Technologies Limited,Software company,·,3.7,-70
Spin Can Manufacturing Company,·,"Century Towers, 45, 5th Floor, Room No. 501, Shakespeare Sarani Rd",,
Multinational Industries Limited,·,"24, Madhusudan Banerjee Rd",5.0,-2
Almatis Alumina Pvt. Ltd.,Aluminium Supplier,·,4.6,-7
LabVantage Solutions Private Limited,Software company,·,4.8,-63
Binaryfolks Private Limited,Software company,·,4.8,-4
CFlo,Manufacturer,·,4.8,-159
BGR Analytics Pvt. Ltd.,·,"P165, Sec - B",5.0,-1
Bit Wave Solutions Pvt Ltd,Software company,·,4.1,-27
Globsyn Technologies Ltd,·,11 & 12,2.5,-11
Web Spiders (India) Pvt. Ltd.,Software company,·,3.5,-21
Fi-Tek,Software company,·,3.9,-35
"Abzooba Inc: Top AI, Data Science, Machine Learning, Data Analytics Company",Software company,·,4.5,-48
Starlite Infotech Ltd,·,"Godrej Waterside Block DP, 5th Floor Sector-V, Salt Lake City",,
website development company in kolkata,·,4,,
Tata International Limited,Manufacturer,·,,
Synotrix Global,·,"Merlin Matrix, Block DN-10, Salt Lake, Sector V",2.9,-10
Ontrack Systems Limited,·,"Block-EPY18, Sector-5, Salt Lake",4.0,-1
AMB Computer Integrated Engineering,Software company,·,4.4,-10
Southern Cooling Towers Pvt Ltd,Industrial equipment supplier,·,3.4,-10
RS Software India Ltd.,Software company,·,4.2,"-2,689"
Uniwide Consultancy & Services,·,"3rd Floor, Module 415, SDF Building, 418",3.8,-5
Appsbee India,Software company,·,4.5,-28
D C Industrial Plant Services Pvt Ltd,Manufacturer,·,5.0,-1
Maketick Solutions India Pvt. Ltd.,Software company,·,,
Indus Net Technologies,Software company,·,4.3,-391
OV International Services Pvt Ltd,Software company,·,3.4,-5
Globalnest,Software company,·,,
"LabWare Limited, India Branch",Software company,·,4.9,-12
Jalan Group Of Industries,Chemical plant,·,4.2,-10
Wipro Limited,·,"1, 7, 8 & 9, Street No. 13",4.4,"-4,085"
Usha Martin,Manufacturer,·,4.2,-111
Andovar Localization Services Pvt Ltd,·,"5th Floor, 50 Chowringhee Road, Elgin Front Building",4.8,-23
Net Guru Private Limited,·,Street Number 30,3.3,-486
Algonics Systems Pvt. Ltd.,Software company,·,3.7,-28
Endue Technologies India Pvt Ltd,Software company,·,5.0,-4
IBM BCS Building,Software company,·,4.6,-770
Tuli eServices,Software company,·,4.4,-29
"Elevator companies in Kolkata, Elevator companies west Bengal | SafeRide Elevator | November | 2023 |",Elevator Manufacturer,·,,
Hind Pharmaceuticals,Pharmaceutical company,·,3.0,-2
NRI FT India,Software company,·,4.4,-166
Tech Mahindra Limited,Software company,,4.1,"-1,226"
ADA Software Re Engineering Services,Software company,·,3.9,-34
Wipro Tower 3,·,DN - 57,4.1,-50
Uniwide Logistics Multinational Limited,Logistics service,·,4.9,-16
GFK Mode,·,"G9M8+XXF, Mayfair Rd",2.8,-5
KEYSIGHT TECHNOLOGIES - Ixia,Software company,·,4.5,-66
Netcom Infotech Pvt. Ltd.,Software company,·,3.0,-4
eRevMax - RateTiger Hotel Channel Manager,Software company,·,4.2,-39
Kaizen IT Services Pvt Ltd,·,26,3.0,-1
MNC Traders,·,"SHOP NO -22, SP Market, 3, Dent Mission Rd, near Fancy Market",4.9,-40
Experis™ India Pvt. Ltd,Software company,·,3.6,-94
