Company_name,ration,user_review,Type,region
National Power Engineering Company,4.9,-122.0,Steel fabricator,siliguri
NPEC Industrial Estate Factory,5.0,-1.0,Steel fabricator,siliguri
National Insurance,3.7,-67.0,Insurance company,siliguri
National Industries,4.4,-31.0,Fertilizer Store,siliguri
NPEC Dabgram Factory,5.0,-1.0,Steel fabricator,siliguri
The New India Assurance Co. Ltd,3.7,-56.0,Insurance company,siliguri
NATIONAL WALLPAPER CO ,,,Wallpaper store,siliguri
REYAL ELEVATORS,3.0,-4.0,Elevator Manufacturer,siliguri
Quantum Siliguri (Rungta Group),4.3,-16.0,Corporate campus,siliguri
Shyam Sales Corporation,4.6,-5.0,Agricultural service,siliguri
National Battery,3.0,-1.0,Battery Wholesaler,siliguri
Techno Developers Group,4.6,-29.0,Software company,siliguri
Livewire IT Services Pvt Ltd,3.0,-2.0,Software company,siliguri
Siliguri Printing,,,Digital printing service,siliguri
AGS FOODS,4.5,-4.0,Frozen food manufacturer,siliguri
Kamac,4.8,-16.0,Real Estate Builders & Construction Company,siliguri
Pioneer Pipes,4.8,-6.0,Pipe Manufacturer,siliguri
Arkedia Marketing,4.9,-48.0,Internet marketing service,siliguri
Conciva Digi Hub,5.0,-2.0,Internet cafe,siliguri
Furnitech Seating Systems - Siliguri,5.0,-1.0,Furniture Manufacturer,siliguri
New Winner Tailor,,,Fabric product manufacturer,siliguri
Roshan Agencies,5.0,-9.0,Battery Wholesaler,siliguri
Bajaj Allianz Life Insurance Company Limited,4.0,-70.0,Life insurance agency,siliguri
National Insurance,4.4,-7.0,Insurance company,siliguri
NAKSHATRA PHARMA,,,Pharmaceutical company,siliguri
Essenn Group Of Companies,4.7,-3.0,Telecommunications contractor,siliguri
SunTale Energy,,,Solar Energy Company,siliguri
Om metal industry,,,Manufacturer,siliguri
Gulsari Enterprise,,,Home automation company,siliguri
Furniture king,,,Furniture maker,siliguri
Drugs & Chemicals,,,Laboratory equipment supplier,siliguri
National Fartilizer Limited,,,Corporate office,siliguri
National Hydroelectric Power Corporation,5.0,-1,Power station,kolkata
Nicco Engineering Services Limited,4.6,-16,Mechanical engineer,kolkata
National Insurance Salt Lake Division,5.0,-9,Insurance company,kolkata
National Dairy Development Board,,,Warehouse,kolkata
Indian National Drug Company Private Limited,2.0,-4,Pharmaceutical company,kolkata
Medequip Healthcare Solutions LLP,1.0,-1,Medical Equipment Manufacturer,kolkata
Sector-v,4.4,-29,Government office,kolkata
Larsen & Toubro Ltd,4.5,-771,Real Estate Builders & Construction Company,kolkata
NATIONAL MANUFACTURING COMPANY,,,Manufacturer,kolkata
National india,,,Packaging company,kolkata
Godrej Genesis,3.7,"-1,260",Building design company,kolkata
National Trading Co.,5.0,-2,Manufacturer,kolkata
National Engineering & Technology,4.9,-14,Manufacturer,kolkata
The National Engineering Co,,,Manufacturer,kolkata
National Trading Company,4.2,-5,PVC industry,kolkata
Sector V,,,Bidhannagar,kolkata
Ner Rubber National Engineering Industries Ltd,3.8,-9,Manufacturer,kolkata
Ecodrive - National Manufacturing Company,5.0,-2,Manufacturer,kolkata
"Godrej Waterside - Tower 2, Kolkata",4.5,"-1,471",Corporate office,kolkata
National Engineering Industries Ltd.,5.0,-1,Manufacturer,kolkata
National Engineering Co.,,,Manufacturer,kolkata
Aegis,3.4,"-2,041",BPO Company,kolkata
PS Srijan Corporate Park,4.4,-674,Corporate campus,kolkata
"National Engineering & Technology, Unit-2",,,Manufacturer,kolkata
NATIONAL CHAIN CORPORATION,5.0,-3,Manufacturer,kolkata
Electrical Room,,,Power station,kolkata
National Traders (Tesla Power Shop),5.0,-1,Manufacturer,kolkata
National Insurance,4.4,-26.0,Insurance company,kolkata
"National Insurance, Sealdah Branch Office",5.0,-2.0,Insurance company,kolkata
National Group Of companies,5.0,-2.0,HVAC contractor,kolkata
Transport Development Corporation,5.0,-2.0,Trucking company,kolkata
Cosmic International Courier,,,Shipping company,kolkata
NATIONAL MANUFACTURING COMPANY,,,Bearing supplier,kolkata
National india,,,Packaging company,kolkata
National Trading Co.,5.0,-2.0,Manufacturer,kolkata
The National Engineering Co,,,Manufacturer,kolkata
National Trading Company,4.2,-5.0,PVC industry,kolkata
Indian National Drug Company Private Limited,2.0,-4.0,Pharmaceutical company,kolkata
National Insurance Company,3.0,-2.0,Corporate office,kolkata
National Engineering Industries Ltd.,5.0,-1.0,Bearing supplier,kolkata
National Engineering & Technology,4.9,-14.0,Manufacturer,kolkata
Ecodrive - National Manufacturing Company,5.0,-2.0,Hardware store,kolkata
National Engineering Co.,,,Manufacturer,kolkata
National Insurance Company Limited,4.3,-412.0,Insurance company,kolkata
Ner Rubber National Engineering Industries Ltd,3.8,-9.0,Manufacturer,kolkata
National Traders (Tesla Power Shop),5.0,-1.0,Manufacturer,kolkata
National Stores Supplying Company,,,Exporter,kolkata
NATIONAL CHAIN CORPORATION,5.0,-3.0,Manufacturer,kolkata
National Timber Co.,5.0,-2.0,Lumber store,kolkata
"National Engineering & Technology, Unit-2",,,Manufacturer,kolkata
National Paints & Chemicals (INDIA),4.0,-1.0,Paint Manufacturer,kolkata
R.K NATIONAL ENGINEERING,4.2,-5.0,Manufacturer,kolkata
National Textile Corporation Limited,4.0,-1.0,Textile mill,kolkata
NATIONAL ENGINEERING WORKS,5.0,-2.0,Manufacturer,kolkata
National Chemical Co.,5.0,-1.0,Manufacturer,kolkata
National Pharmaceutical,5.0,-2.0,Pharmaceutical company,kolkata
National Tea Company,5.0,-2.0,Supplier,kolkata
National Engineering & Technology- Unit-3,5.0,-1.0,Manufacturer,kolkata
National Automobiles,,,Automation company,kolkata
National Plastic,3.5,-2.0,Plastic fabrication company,kolkata
National Cabinet Company,4.5,-2.0,Lumber store,kolkata
National Traders,5.0,-1.0,Manufacturer,kolkata
National Insurance - Kharagpur Office,3.6,-21.0,Insurance company,kharagpur
National Automotives (Rafik Lathe),4.3,-6.0,Engine Rebuilding Service Station,kharagpur
National Enterprise,5.0,-3.0,Furniture store,kharagpur
National Trading,,,Wholesaler,kharagpur
NATIONAL SECURITY ORGANISATION,3.7,-3.0,Security guard service,kharagpur
NATIONAL CONSUMER SERVICES,2.0,-1.0,Electronics store,kharagpur
Rashmi Cement Office,3.8,-98.0,Cement Supplier,kharagpur
Prasanta Engineering,5.0,-1.0,Metal fabricator,kharagpur
SAINI EARTH MOVERS (BRANCH & WORKSHOP),3.6,-18.0,Construction equipment supplier,kharagpur
Indane - Kharagpur Agency,4.2,-91.0,Gas Agency,kharagpur
Rashmi Metaliks Ltd.,3.8,-129.0,Steel fabricator,kharagpur
ROY VARIETY STORES,,,Print shop,kharagpur
ICICI Lombard - Kharagpur,4.0,-5.0,Insurance company,kharagpur
TIL LIMITED,5.0,-1.0,Manufacturer,kharagpur
Flour Mill,,,Mill,kharagpur
Shree Nathji Transport,3.6,-5.0,Logistics service,kharagpur
I O W Office,4.7,-3.0,Corporate office,kharagpur
RASHMI METALIKS UNIT-III,3.9,-215.0,Corporate office,kharagpur
Max Life Insurance,4.2,-45.0,Insurance company,kharagpur
Maa Kali Weigh bridge,,,Car rental agency,kharagpur
KHARAGPUR CRANE SERVICE,4.5,-2.0,Construction equipment supplier,kharagpur
Shree S.K Enterprise,,,Plywood supplier,kharagpur
M/S. SNEHA & NEHA (Electrical & Electronics),,,Electrical products wholesaler,kharagpur
Kharagpur Breakdown Service,4.0,-2.0,Crane rental agency,kharagpur
Yadav motor garage,,,Machine shop,kharagpur
NATIONAL TRADE CORPORATION,,,Manufacturer,howrah
National Engineering Works,,,Metal fabricator,howrah
National Techno Projects,,,Manufacturer,howrah
National Rubber Industries,5.0,-2.0,Manufacturer,howrah
NATIONAL MANUFACTURING COMPANY,,,Bearing supplier,howrah
National Plastic Household Products Private Limited,,,Plastic fabrication company,howrah
NATIONAL ENGINEERING CONCERN,,,Manufacturer,howrah
National Casting & Engg. Company,5.0,-2.0,Manufacturer,howrah
